"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","AVWAGE","TOT","USD","A","1990",40605.3501938332,
"AUS","AVWAGE","TOT","USD","A","1991",40414.7966049509,
"AUS","AVWAGE","TOT","USD","A","1992",41223.3776649611,
"AUS","AVWAGE","TOT","USD","A","1993",41601.9293337657,
"AUS","AVWAGE","TOT","USD","A","1994",41878.738299965,
"AUS","AVWAGE","TOT","USD","A","1995",41717.9915387741,
"AUS","AVWAGE","TOT","USD","A","1996",42913.0505822351,
"AUS","AVWAGE","TOT","USD","A","1997",44224.2785764442,
"AUS","AVWAGE","TOT","USD","A","1998",44822.3499237506,
"AUS","AVWAGE","TOT","USD","A","1999",45829.1524616831,
"AUS","AVWAGE","TOT","USD","A","2000",45961.8712525458,
"AUS","AVWAGE","TOT","USD","A","2001",46424.2741557066,
"AUS","AVWAGE","TOT","USD","A","2002",46814.1710914908,
"AUS","AVWAGE","TOT","USD","A","2003",47450.4721023555,
"AUS","AVWAGE","TOT","USD","A","2004",48917.5529215111,
"AUS","AVWAGE","TOT","USD","A","2005",49462.8934098382,
"AUS","AVWAGE","TOT","USD","A","2006",49794.760378975,
"AUS","AVWAGE","TOT","USD","A","2007",51157.8286861926,
"AUS","AVWAGE","TOT","USD","A","2008",51485.1207131983,
"AUS","AVWAGE","TOT","USD","A","2009",50992.6443635822,
"AUS","AVWAGE","TOT","USD","A","2010",52757.1464680334,
"AUS","AVWAGE","TOT","USD","A","2011",54457.3274319476,
"AUS","AVWAGE","TOT","USD","A","2012",54809.9772681767,
"AUS","AVWAGE","TOT","USD","A","2013",54609.4471638796,
"AUS","AVWAGE","TOT","USD","A","2014",55076.0080073858,
"AUS","AVWAGE","TOT","USD","A","2015",54710.5209077347,
"AUS","AVWAGE","TOT","USD","A","2016",54825.0228390768,
"AUS","AVWAGE","TOT","USD","A","2017",54562.1050380874,
"AUS","AVWAGE","TOT","USD","A","2018",54701.951128817,
"AUS","AVWAGE","TOT","USD","A","2019",55287.6185923813,
"AUS","AVWAGE","TOT","USD","A","2020",56574.8366334383,
"AUS","AVWAGE","TOT","USD","A","2021",56020.5296644195,
"AUT","AVWAGE","TOT","USD","A","1990",44946.7506704214,
"AUT","AVWAGE","TOT","USD","A","1991",46351.7226623159,
"AUT","AVWAGE","TOT","USD","A","1992",47285.5405490119,
"AUT","AVWAGE","TOT","USD","A","1993",47671.0731672442,
"AUT","AVWAGE","TOT","USD","A","1994",48151.3731722353,
"AUT","AVWAGE","TOT","USD","A","1995",48539.2873499982,
"AUT","AVWAGE","TOT","USD","A","1996",48211.4329306714,
"AUT","AVWAGE","TOT","USD","A","1997",47806.7536649578,
"AUT","AVWAGE","TOT","USD","A","1998",49338.086363464,
"AUT","AVWAGE","TOT","USD","A","1999",50430.5299207682,
"AUT","AVWAGE","TOT","USD","A","2000",50590.3384931691,
"AUT","AVWAGE","TOT","USD","A","2001",50432.0228475098,
"AUT","AVWAGE","TOT","USD","A","2002",51195.5984366952,
"AUT","AVWAGE","TOT","USD","A","2003",51313.3051230424,
"AUT","AVWAGE","TOT","USD","A","2004",52287.4706043367,
"AUT","AVWAGE","TOT","USD","A","2005",52569.8749433307,
"AUT","AVWAGE","TOT","USD","A","2006",53355.3349204101,
"AUT","AVWAGE","TOT","USD","A","2007",53661.2733808497,
"AUT","AVWAGE","TOT","USD","A","2008",54563.1675966431,
"AUT","AVWAGE","TOT","USD","A","2009",55491.7249267048,
"AUT","AVWAGE","TOT","USD","A","2010",55241.9194291951,
"AUT","AVWAGE","TOT","USD","A","2011",54639.7802384352,
"AUT","AVWAGE","TOT","USD","A","2012",54950.0886876853,
"AUT","AVWAGE","TOT","USD","A","2013",54975.5149233133,
"AUT","AVWAGE","TOT","USD","A","2014",55178.1464288064,
"AUT","AVWAGE","TOT","USD","A","2015",55580.4368256989,
"AUT","AVWAGE","TOT","USD","A","2016",56106.7100075199,
"AUT","AVWAGE","TOT","USD","A","2017",56094.8011378073,
"AUT","AVWAGE","TOT","USD","A","2018",56279.1537371839,
"AUT","AVWAGE","TOT","USD","A","2019",56718.6548940255,
"AUT","AVWAGE","TOT","USD","A","2020",56807.4919322253,
"AUT","AVWAGE","TOT","USD","A","2021",58138.5895239434,
"BEL","AVWAGE","TOT","USD","A","1990",44928.6120805173,
"BEL","AVWAGE","TOT","USD","A","1991",46902.265850966,
"BEL","AVWAGE","TOT","USD","A","1992",48406.2286443662,
"BEL","AVWAGE","TOT","USD","A","1993",49423.6525847597,
"BEL","AVWAGE","TOT","USD","A","1994",50382.5510340721,
"BEL","AVWAGE","TOT","USD","A","1995",50211.126885393,
"BEL","AVWAGE","TOT","USD","A","1996",50840.5983161921,
"BEL","AVWAGE","TOT","USD","A","1997",51488.8766966885,
"BEL","AVWAGE","TOT","USD","A","1998",51519.7578462495,
"BEL","AVWAGE","TOT","USD","A","1999",54391.4044779399,
"BEL","AVWAGE","TOT","USD","A","2000",53900.1904267336,
"BEL","AVWAGE","TOT","USD","A","2001",54064.4585831634,
"BEL","AVWAGE","TOT","USD","A","2002",55460.1998703641,
"BEL","AVWAGE","TOT","USD","A","2003",55790.7971593042,
"BEL","AVWAGE","TOT","USD","A","2004",55498.1634989922,
"BEL","AVWAGE","TOT","USD","A","2005",54971.3161942908,
"BEL","AVWAGE","TOT","USD","A","2006",55344.7596414146,
"BEL","AVWAGE","TOT","USD","A","2007",55242.0784856113,
"BEL","AVWAGE","TOT","USD","A","2008",55480.4624783898,
"BEL","AVWAGE","TOT","USD","A","2009",56253.7123564765,
"BEL","AVWAGE","TOT","USD","A","2010",55993.2667758385,
"BEL","AVWAGE","TOT","USD","A","2011",56566.9103836593,
"BEL","AVWAGE","TOT","USD","A","2012",57024.2041245668,
"BEL","AVWAGE","TOT","USD","A","2013",57589.0071816615,
"BEL","AVWAGE","TOT","USD","A","2014",57909.3645514297,
"BEL","AVWAGE","TOT","USD","A","2015",57516.6946837993,
"BEL","AVWAGE","TOT","USD","A","2016",57640.2777132844,
"BEL","AVWAGE","TOT","USD","A","2017",57237.3948428294,
"BEL","AVWAGE","TOT","USD","A","2018",57546.8416588904,
"BEL","AVWAGE","TOT","USD","A","2019",58111.5567288263,
"BEL","AVWAGE","TOT","USD","A","2020",56560.8449110773,
"BEL","AVWAGE","TOT","USD","A","2021",59601.4990493628,
"CAN","AVWAGE","TOT","USD","A","1990",40575.5212597042,
"CAN","AVWAGE","TOT","USD","A","1991",40728.3186839818,
"CAN","AVWAGE","TOT","USD","A","1992",41323.1190750308,
"CAN","AVWAGE","TOT","USD","A","1993",41233.6665237262,
"CAN","AVWAGE","TOT","USD","A","1994",40764.6759233247,
"CAN","AVWAGE","TOT","USD","A","1995",40673.4552890241,
"CAN","AVWAGE","TOT","USD","A","1996",41034.3485476081,
"CAN","AVWAGE","TOT","USD","A","1997",42290.6481388901,
"CAN","AVWAGE","TOT","USD","A","1998",43000.4937218139,
"CAN","AVWAGE","TOT","USD","A","1999",43349.9489370353,
"CAN","AVWAGE","TOT","USD","A","2000",44664.2635914899,
"CAN","AVWAGE","TOT","USD","A","2001",44480.759664908,
"CAN","AVWAGE","TOT","USD","A","2002",44110.1757150714,
"CAN","AVWAGE","TOT","USD","A","2003",44129.2116936383,
"CAN","AVWAGE","TOT","USD","A","2004",45099.4519542193,
"CAN","AVWAGE","TOT","USD","A","2005",46401.7941974149,
"CAN","AVWAGE","TOT","USD","A","2006",47822.4076085542,
"CAN","AVWAGE","TOT","USD","A","2007",49218.9293087896,
"CAN","AVWAGE","TOT","USD","A","2008",50064.9940781002,
"CAN","AVWAGE","TOT","USD","A","2009",50506.860165028,
"CAN","AVWAGE","TOT","USD","A","2010",50654.7163717665,
"CAN","AVWAGE","TOT","USD","A","2011",51148.7643683222,
"CAN","AVWAGE","TOT","USD","A","2012",51935.925327481,
"CAN","AVWAGE","TOT","USD","A","2013",52578.3227790031,
"CAN","AVWAGE","TOT","USD","A","2014",53219.3911687958,
"CAN","AVWAGE","TOT","USD","A","2015",53635.2614227518,
"CAN","AVWAGE","TOT","USD","A","2016",52675.1743008595,
"CAN","AVWAGE","TOT","USD","A","2017",53430.1861851942,
"CAN","AVWAGE","TOT","USD","A","2018",54403.3018758831,
"CAN","AVWAGE","TOT","USD","A","2019",54685.317148032,
"CAN","AVWAGE","TOT","USD","A","2020",56257.7139461051,
"CAN","AVWAGE","TOT","USD","A","2021",54298.9105675969,
"CZE","AVWAGE","TOT","USD","A","1995",14329.4349860878,
"CZE","AVWAGE","TOT","USD","A","1996",15803.4582296016,
"CZE","AVWAGE","TOT","USD","A","1997",16050.341812929,
"CZE","AVWAGE","TOT","USD","A","1998",16047.4250689192,
"CZE","AVWAGE","TOT","USD","A","1999",16685.4854648269,
"CZE","AVWAGE","TOT","USD","A","2000",17312.5172246949,
"CZE","AVWAGE","TOT","USD","A","2001",18205.3666741867,
"CZE","AVWAGE","TOT","USD","A","2002",19306.3731302287,
"CZE","AVWAGE","TOT","USD","A","2003",20778.455885233,
"CZE","AVWAGE","TOT","USD","A","2004",21713.9509271951,
"CZE","AVWAGE","TOT","USD","A","2005",22352.2533291418,
"CZE","AVWAGE","TOT","USD","A","2006",23248.1589029567,
"CZE","AVWAGE","TOT","USD","A","2007",23941.9810640768,
"CZE","AVWAGE","TOT","USD","A","2008",24070.0526140981,
"CZE","AVWAGE","TOT","USD","A","2009",23973.6666593972,
"CZE","AVWAGE","TOT","USD","A","2010",24710.4851611255,
"CZE","AVWAGE","TOT","USD","A","2011",24911.8377454131,
"CZE","AVWAGE","TOT","USD","A","2012",24957.4549193736,
"CZE","AVWAGE","TOT","USD","A","2013",24801.8571007414,
"CZE","AVWAGE","TOT","USD","A","2014",25324.9126789162,
"CZE","AVWAGE","TOT","USD","A","2015",26069.6478966016,
"CZE","AVWAGE","TOT","USD","A","2016",26990.312606657,
"CZE","AVWAGE","TOT","USD","A","2017",28369.8084528943,
"CZE","AVWAGE","TOT","USD","A","2018",29872.4351145543,
"CZE","AVWAGE","TOT","USD","A","2019",31113.2749202304,
"CZE","AVWAGE","TOT","USD","A","2020",30790.2632372494,
"CZE","AVWAGE","TOT","USD","A","2021",31722.5175663448,
"DNK","AVWAGE","TOT","USD","A","1991",43376.5048149167,
"DNK","AVWAGE","TOT","USD","A","1992",44838.0535155554,
"DNK","AVWAGE","TOT","USD","A","1993",45334.252502463,
"DNK","AVWAGE","TOT","USD","A","1994",43757.960912424,
"DNK","AVWAGE","TOT","USD","A","1995",44692.6327170845,
"DNK","AVWAGE","TOT","USD","A","1996",45503.6641155408,
"DNK","AVWAGE","TOT","USD","A","1997",46231.2649692888,
"DNK","AVWAGE","TOT","USD","A","1998",47040.1137314719,
"DNK","AVWAGE","TOT","USD","A","1999",47592.7773525171,
"DNK","AVWAGE","TOT","USD","A","2000",47548.8338462698,
"DNK","AVWAGE","TOT","USD","A","2001",47832.0048625147,
"DNK","AVWAGE","TOT","USD","A","2002",48921.2607211016,
"DNK","AVWAGE","TOT","USD","A","2003",50128.6749210541,
"DNK","AVWAGE","TOT","USD","A","2004",51244.3470038413,
"DNK","AVWAGE","TOT","USD","A","2005",52129.5653219639,
"DNK","AVWAGE","TOT","USD","A","2006",53007.7983916839,
"DNK","AVWAGE","TOT","USD","A","2007",53598.7589589885,
"DNK","AVWAGE","TOT","USD","A","2008",54308.3034968074,
"DNK","AVWAGE","TOT","USD","A","2009",55623.9809632543,
"DNK","AVWAGE","TOT","USD","A","2010",56248.8273093699,
"DNK","AVWAGE","TOT","USD","A","2011",55952.6085929536,
"DNK","AVWAGE","TOT","USD","A","2012",55869.0759522555,
"DNK","AVWAGE","TOT","USD","A","2013",56259.301047628,
"DNK","AVWAGE","TOT","USD","A","2014",57332.8940738738,
"DNK","AVWAGE","TOT","USD","A","2015",58343.2489602734,
"DNK","AVWAGE","TOT","USD","A","2016",58332.2596091913,
"DNK","AVWAGE","TOT","USD","A","2017",58669.7014254054,
"DNK","AVWAGE","TOT","USD","A","2018",59175.7865746082,
"DNK","AVWAGE","TOT","USD","A","2019",59705.1547241451,
"DNK","AVWAGE","TOT","USD","A","2020",60417.8084401457,
"DNK","AVWAGE","TOT","USD","A","2021",62053.8532442887,
"FIN","AVWAGE","TOT","USD","A","1990",36003.9714407258,
"FIN","AVWAGE","TOT","USD","A","1991",36433.8774959998,
"FIN","AVWAGE","TOT","USD","A","1992",35883.5084243622,
"FIN","AVWAGE","TOT","USD","A","1993",34626.9628757551,
"FIN","AVWAGE","TOT","USD","A","1994",35117.7205958376,
"FIN","AVWAGE","TOT","USD","A","1995",36499.3504323855,
"FIN","AVWAGE","TOT","USD","A","1996",37335.4457718707,
"FIN","AVWAGE","TOT","USD","A","1997",37367.2524949924,
"FIN","AVWAGE","TOT","USD","A","1998",38353.7060518911,
"FIN","AVWAGE","TOT","USD","A","1999",39250.8560717111,
"FIN","AVWAGE","TOT","USD","A","2000",39924.7447914803,
"FIN","AVWAGE","TOT","USD","A","2001",40134.7537620183,
"FIN","AVWAGE","TOT","USD","A","2002",40350.3703059937,
"FIN","AVWAGE","TOT","USD","A","2003",41117.2240246413,
"FIN","AVWAGE","TOT","USD","A","2004",42474.2557538364,
"FIN","AVWAGE","TOT","USD","A","2005",43368.5036868176,
"FIN","AVWAGE","TOT","USD","A","2006",44266.1325917474,
"FIN","AVWAGE","TOT","USD","A","2007",44857.672054803,
"FIN","AVWAGE","TOT","USD","A","2008",45241.2087453282,
"FIN","AVWAGE","TOT","USD","A","2009",45631.3057473921,
"FIN","AVWAGE","TOT","USD","A","2010",46262.8048899904,
"FIN","AVWAGE","TOT","USD","A","2011",46275.9314480637,
"FIN","AVWAGE","TOT","USD","A","2012",46312.8588762804,
"FIN","AVWAGE","TOT","USD","A","2013",45849.8592368194,
"FIN","AVWAGE","TOT","USD","A","2014",45834.7436066727,
"FIN","AVWAGE","TOT","USD","A","2015",46193.7339604692,
"FIN","AVWAGE","TOT","USD","A","2016",46599.4385400729,
"FIN","AVWAGE","TOT","USD","A","2017",46331.8902548636,
"FIN","AVWAGE","TOT","USD","A","2018",46673.6915480754,
"FIN","AVWAGE","TOT","USD","A","2019",47154.5499379565,
"FIN","AVWAGE","TOT","USD","A","2020",47299.0338354153,
"FIN","AVWAGE","TOT","USD","A","2021",50697.7929295421,
"FRA","AVWAGE","TOT","USD","A","1990",35939.31570158,
"FRA","AVWAGE","TOT","USD","A","1991",36355.4990346749,
"FRA","AVWAGE","TOT","USD","A","1992",36762.447086493,
"FRA","AVWAGE","TOT","USD","A","1993",37186.2697128226,
"FRA","AVWAGE","TOT","USD","A","1994",37341.6174780032,
"FRA","AVWAGE","TOT","USD","A","1995",37895.7123590764,
"FRA","AVWAGE","TOT","USD","A","1996",38007.9364642161,
"FRA","AVWAGE","TOT","USD","A","1997",38432.7853032591,
"FRA","AVWAGE","TOT","USD","A","1998",39026.5682494986,
"FRA","AVWAGE","TOT","USD","A","1999",39885.9072302855,
