Country/Territory,UN Region,IMF,IMF,World Bank,World Bank,United Nations,United Nations
Country/Territory,UN Region,Estimate,Year,Estimate,Year,Estimate,Year
,,,,,,,
Mexico,Americas,"12,673",2023,"10,046",2021,"10,046",2021
Kazakhstan,Asia,"12,306",2023,"10,374",2021,"10,055",2021
Saint Lucia,Americas,"12,264",2023,"9,414",2021,"9,824",2021
Cuba,Americas,—,—,"9,500",2020,"11,255",2021
Turkey,Asia,"11,931",2023,"9,661",2021,"9,661",2021
Nauru,Oceania,"11,825",2023,"10,648",2021,"12,390",2021
Mauritius,Africa,"11,548",2023,"9,106",2021,"8,873",2021
Dominican Republic,Americas,"11,308",2023,"8,477",2021,"8,477",2021
Montenegro,Europe,"11,289",2023,"9,466",2021,"9,252",2021
Grenada,Americas,"11,137",2023,"9,011",2021,"8,950",2021
Serbia,Europe,"10,849",2023,"9,230",2021,"8,643",2021
Equatorial Guinea,Africa,"9,777",2023,"7,507",2021,"7,605",2021
Brazil,Americas,"9,673",2023,"7,507",2021,"7,507",2021
Saint Vincent and the Grenadines,Americas,"9,539",2023,"8,666",2021,"8,440",2021
Gabon,Africa,"9,294",2023,"8,635",2021,"7,911",2021
Dominica,Americas,"9,144",2023,"7,653",2021,"7,571",2021
Bosnia and Herzegovina,Europe,"8,223",2023,"7,143",2021,"7,143",2021
Thailand,Asia,"8,181",2023,"7,066",2021,"7,067",2021
Armenia,Asia,"8,007",2023,"4,967",2021,"4,967",2021
Belarus,Europe,"7,944",2023,"7,302",2021,"7,121",2021
Peru,Americas,"7,772",2023,"6,622",2021,"6,622",2021
Georgia,Asia,"7,600",2023,"5,023",2021,"4,975",2021
North Macedonia,Europe,"7,384",2023,"6,695",2021,"6,600",2021
Botswana,Africa,"7,270",2023,"6,805",2021,"6,805",2021
Albania,Europe,"7,058",2023,"6,493",2021,"6,396",2021
Belize,Americas,"7,017",2023,"6,228",2021,"6,229",2021
Libya,Africa,"6,763",2023,"6,357",2021,"5,791",2021
Azerbaijan,Asia,"6,757",2023,"5,388",2021,"5,296",2021
Lebanon,Asia,"3,589",2020,"4,136",2021,"6,785",2021
Ecuador,Americas,"6,642",2023,"5,965",2021,"5,965",2021
South Africa,Africa,"6,485",2023,"7,055",2021,"7,055",2021
Colombia,Americas,"6,417",2023,"6,104",2021,"6,104",2021
Moldova,Europe,"6,342",2023,"5,231",2021,"4,468",2021
Jamaica,Americas,"6,282",2023,"5,184",2021,"5,184",2021
Iraq,Asia,"6,180",2023,"4,775",2021,"4,686",2021
Tuvalu,Oceania,"6,007",2023,"5,632",2021,"5,370",2021
Fiji,Oceania,"5,887",2023,"4,647",2021,"4,647",2021
Paraguay,Americas,"5,667",2023,"5,892",2021,"6,035",2021
Kosovo,Europe,"5,641",2023,"5,270",2021,"5,663",2021
Suriname,Americas,"5,556",2023,"4,869",2021,"5,259",2021
Tonga,Oceania,"5,421",2023,"4,426",2021,"4,451",2021
Guatemala,Americas,"5,358",2023,"5,026",2021,"4,883",2021
El Salvador,Americas,"5,308",2023,"4,551",2021,"4,551",2021
Ukraine,Europe,"4,862",2021,"4,836",2021,"4,596",2021
Marshall Islands,Oceania,"5,164",2023,"6,172",2021,"6,111",2021
Namibia,Africa,"5,100",2023,"4,866",2021,"4,836",2021
Jordan,Asia,"5,048",2023,"4,103",2021,"4,058",2021
Indonesia,Asia,"5,016",2023,"4,333",2021,"4,333",2021
Mongolia,Asia,"4,814",2023,"4,566",2021,"4,510",2021
Algeria,Africa,"4,481",2023,"3,691",2021,"3,700",2021
Vietnam,Asia,"4,475",2023,"3,757",2021,"3,756",2021
Samoa,Oceania,"4,436",2023,"3,857",2021,"3,919",2021
Micronesia,Oceania,"4,336",2023,"3,571",2021,"3,573",2021
Cape Verde,Africa,"4,278",2023,"3,293",2021,"3,293",2021
Iran,Asia,"4,251",2023,"4,091",2021,"6,766",2021
Eswatini,Africa,"4,146",2023,"3,978",2021,"3,969",2021
Tunisia,Africa,"4,071",2023,"3,807",2021,"3,807",2021
Philippines,Asia,"3,905",2023,"3,461",2021,"3,461",2021
Djibouti,Africa,"3,802",2023,"3,150",2021,"3,348",2021
Bolivia,Americas,"3,800",2023,"3,345",2021,"3,345",2021
Morocco,Africa,"3,748",2023,"3,795",2021,"3,853",2021
Egypt,Africa,"3,644",2023,"3,699",2021,"3,898",2021
Venezuela,Americas,"3,640",2023,"15,976",2014,"3,965",2021
Palestine,Asia,"3,517",2022,"3,664",2021,"3,514",2021
Papua New Guinea,Oceania,"3,517",2023,"2,673",2021,"2,673",2021
Bhutan,Asia,"3,497",2023,"3,266",2021,"3,063",2021
Sri Lanka,Asia,"3,362",2023,"4,014",2021,"3,918",2021
Honduras,Americas,"3,278",2023,"2,772",2021,"2,772",2021
Angola,Africa,"3,204",2023,"1,954",2021,"2,258",2021
Vanuatu,Oceania,"3,188",2023,"2,997",2021,"3,073",2021
São Tomé and Príncipe,Africa,"2,695",2023,"2,361",2021,"2,486",2021
Ivory Coast,Africa,"2,646",2023,"2,549",2021,"2,539",2021
India,Asia,"2,601",2023,"2,257",2021,"2,274",2021
Nicaragua,Americas,"2,589",2023,"2,046",2021,"2,046",2021
Congo,Africa,"2,584",2023,"2,290",2021,"2,200",2021
Uzbekistan,Asia,"2,562",2023,"1,983",2021,"2,032",2021
Mauritania,Africa,"2,475",2023,"2,166",2021,"2,166",2021
Bangladesh,Asia,"2,469",2023,"2,458",2021,"2,450",2021
Solomon Islands,Oceania,"2,299",2023,"2,305",2021,"2,306",2021
Nigeria,Africa,"2,280",2023,"2,066",2021,"2,019",2021
Kenya,Africa,"2,269",2023,"2,082",2021,"2,082",2021
Haiti,Americas,"2,173",2023,"1,830",2021,"1,664",2021
Ghana,Africa,"2,024",2023,"2,363",2021,"2,409",2021
Kiribati,Oceania,"1,989",2023,"1,607",2021,"1,765",2021
Cambodia,Asia,"1,896",2023,"1,625",2021,"1,608",2021
Laos,Asia,"1,858",2023,"2,536",2021,"2,569",2021
Zimbabwe,Africa,"1,851",2023,"1,774",2021,"1,508",2021
Kyrgyzstan,Asia,"1,736",2023,"1,277",2021,"1,339",2021
Senegal,Africa,"1,719",2023,"1,637",2021,"1,637",2021
Cameroon,Africa,"1,699",2023,"1,667",2021,"1,668",2021
Pakistan,Asia,"1,658",2022,"1,505",2021,"1,480",2021
Guinea,Africa,"1,594",2023,"1,189",2021,"1,185",2021
Ethiopia,Africa,"1,475",2023,925,2021,825,2021
Timor-Leste,Asia,"1,425",2023,"2,741",2021,"1,517",2021
Zambia,Africa,"1,423",2023,"1,137",2021,"1,095",2021
Benin,Africa,"1,390",2023,"1,319",2021,"1,361",2021
Nepal,Asia,"1,377",2023,"1,208",2021,"1,159",2021
Comoros,Africa,"1,360",2023,"1,578",2021,"1,631",2021
Tanzania,Africa,"1,348",2023,"1,099",2021,"1,136",2021
Zanzibar,Africa,—,—,—,—,"1,211",2021
Tajikistan,Asia,"1,277",2023,897,2021,897,2021
Lesotho,Africa,"1,208",2023,"1,094",2021,"1,040",2021
Myanmar,Asia,"1,180",2023,"1,210",2021,"1,089",2021
Uganda,Africa,"1,105",2023,884,2021,930,2021
Togo,Africa,990,2023,973,2021,944,2021
Syria,Asia,—,—,533,2020,925,2021
Sudan,Africa,975,2023,752,2021,786,2021
Guinea-Bissau,Africa,974,2023,795,2021,759,2021
Rwanda,Africa,970,2023,822,2021,822,2021
Burkina Faso,Africa,900,2023,893,2021,893,2021
Mali,Africa,889,2023,874,2021,875,2021
Gambia,Africa,861,2023,772,2021,772,2021
Liberia,Africa,805,2023,676,2021,471,2021
Eritrea,Africa,715,2023,644,2011,623,2021
DR Congo,Africa,695,2023,577,2021,551,2021
North Korea,Asia,—,—,—,—,654,2021
Chad,Africa,667,2023,686,2021,955,2021
Niger,Africa,613,2023,591,2021,591,2021
Mozambique,Africa,587,2023,492,2021,492,2021
Yemen,Asia,573,2023,702,2018,302,2021
Somalia,Africa,544,2023,447,2021,447,2021
Madagascar,Africa,536,2023,501,2021,500,2021
Central African Republic,Africa,534,2023,461,2021,461,2021
Malawi,Africa,496,2023,635,2021,613,2021
South Sudan,Africa,467,2023,"1,072",2015,400,2021
Sierra Leone,Africa,415,2023,480,2021,505,2021
Afghanistan,Asia,611,2020,369,2021,373,2021
Burundi,Africa,249,2023,222,2021,311,2021
